"","mean_O2ml_L","mean_O2Sat","mean_T_degC","mean_Salnty","mean_ChlorA","mean_PO4uM","Depth_zone","Water_density_class"
"2520",3.885,61.275,10.19,33.64925,0.085,1.6225,"Intermediate","Intermediate"
"2521",1.57941176470588,23.8764705882353,7.62647058823529,34.1406470588235,0.01,2.56117647058824,"Deep","Intermediate"
"2522",5.948,106.44,16.362,33.5128,0.436,0.46,"Very shallow","Light"
"2523",5.93,100.26,13.496,33.5334,0.73,0.752,"Shallow","Light"
"2524",3.72,58.9333333333333,10.3283333333333,33.6753333333333,0.283333333333333,1.58,"Intermediate","Intermediate"
"2525",1.49875,22.71875,7.731875,34.152625,0.018,2.589375,"Deep","Intermediate"
"2526",5.995,105.775,15.7875,33.042,0.27,0.36,"Very shallow","Light"
"2527",6.02857142857143,103.271428571429,14.32,33.0905714285714,0.402857142857143,0.401428571428571,"Shallow","Light"
"2528",5.15166666666667,84.1666666666667,11.91,33.3865,0.168333333333333,1.02666666666667,"Intermediate","Light"
"2529",2.314375,35.025,7.629375,33.9738125,0.02,2.30375,"Deep","Intermediate"
